Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/23,AQS,420290100,7,9,ug/m3 LC,38,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/2/23,AQS,420290100,7,13.9,ug/m3 LC,55,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/3/23,AQS,420290100,7,13.4,ug/m3 LC,54,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/4/23,AQS,420290100,7,7.8,ug/m3 LC,33,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/5/23,AQS,420290100,7,8.1,ug/m3 LC,34,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/6/23,AQS,420290100,7,8.6,ug/m3 LC,36,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/7/23,AQS,420290100,7,7.3,ug/m3 LC,30,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/8/23,AQS,420290100,7,7.3,ug/m3 LC,30,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/9/23,AQS,420290100,7,11.1,ug/m3 LC,46,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
1/10/23,AQS,420290100,7,20.3,ug/m3 LC,68,New Garden,1,100,88101,PM2.5 - Local Conditions,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,29,Chester,39.83446059,-75.76824208
