Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/23,AQS,500070007,3,2.1,ug/m3 LC,9,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/1/23,AQS,500070014,3,5.6,ug/m3 LC,23,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/2/23,AQS,500070007,3,4.6,ug/m3 LC,19,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/2/23,AQS,500070014,3,7.4,ug/m3 LC,31,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/3/23,AQS,500070007,1,2.6,ug/m3 LC,11,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/3/23,AQS,500070007,3,4.5,ug/m3 LC,19,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/3/23,AQS,500070012,1,6.5,ug/m3 LC,27,ZAMPIERI STATE OFFICE BUILDING,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.480278,-73.214444
1/3/23,AQS,500070014,3,9.7,ug/m3 LC,40,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/4/23,AQS,500070007,3,5.2,ug/m3 LC,22,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/4/23,AQS,500070014,3,11.7,ug/m3 LC,49,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/5/23,AQS,500070007,3,2.1,ug/m3 LC,9,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
